wdid,logg,mass
SDSS J001733.59+004030.4,7.18,0.27
SDSS J003301.52+005716.8,8.98,1.19
SDSS J003628.06-003124.8,7.43,0.415
SDSS J004740.75-000019.5,8.267,0.777
SDSS J005208.42-005134.7,8.455,0.895
SDSS J011401.78+245241.1,5.65,0.0
SDSS J011446.96+132825.3,7.9,0.55
SDSS J013033.97-005648.8,7.53,0.38
SDSS J020210.80-011525.3,7.47,0.35
SDSS J020343.21-002527.7,8.3,0.8
SDSS J021504.74-004742.8,8.0,0.6
SDSS J021849.98+005739.2,7.46,0.35
SDSS J022436.80+005814.4,6.56,0.16
SDSS J024329.52+283123.5,7.83,0.51
SDSS J025147.85-000003.2,7.61,0.415
SDSS J030138.75+004026.1,7.41,0.36
SDSS J030302.43-062829.9,7.33,0.33
SDSS J030733.07+004113.2,7.39,0.37
SDSS J031310.81+002716.0,7.375,0.33
SDSS J031909.94+002158.8,7.68,0.49
SDSS J053409.03+614531.8,7.66,0.48
SDSS J064411.89+285301.1,8.48,0.96
SDSS J074128.93+414327.9,8.27,0.79
SDSS J074232.54+234244.4,7.27,0.39
SDSS J074819.94+243607.4,7.89,0.55
SDSS J075333.77+263803.4,7.71,0.48
SDSS J075356.37+233118.9,8.11,0.69
SDSS J075407.21+313720.8,8.05,0.64
SDSS J075520.05+274302.2,8.2,0.76
SDSS J075621.93+311439.6,7.71,0.46
SDSS J080144.38+221650.1,7.2,0.28
SDSS J081029.72+413013.6,6.95,0.26
SDSS J081225.62+031914.1,7.87,0.56
SDSS J081233.38+232250.1,7.47,0.35
SDSS J081322.91+343758.5,6.81,0.31
SDSS J081600.20+433139.2,7.7,0.48
SDSS J081649.29+550910.0,7.71,0.47
SDSS J082031.30+252558.7,7.75,0.49
SDSS J082823.58+210036.0,9.5,1.46
SDSS J082828.18+471737.9,7.21,0.32
SDSS J082835.00+241547.6,8.12,0.7
SDSS J082918.99+270134.6,8.07,0.67
SDSS J083001.52+054932.8,7.005,0.23
SDSS J083357.02+052901.1,7.3,0.3
SDSS J083402.88+300144.4,8.33,0.83
SDSS J084005.52+175241.4,7.83,0.54
SDSS J084019.49+152833.8,7.82,0.56
SDSS J084400.81+052305.7,8.51,0.94
SDSS J084514.23+540311.6,7.83,0.52
SDSS J085208.84+064155.3,8.08,0.68
SDSS J085542.49+044717.7,8.24,0.75
SDSS J085616.67+064632.3,7.46,0.36
SDSS J085650.61+020051.9,7.775,0.53
SDSS J085812.39+323637.7,7.85,0.53
SDSS J085907.73+403127.9,7.78,0.49
SDSS J090426.54+282456.8,7.95,0.59
SDSS J090844.84+072707.6,8.22,0.84
SDSS J091333.06+124429.7,8.07,0.65
SDSS J091411.55+231449.8,8.06,0.66
SDSS J091540.27+102112.0,8.15,0.73
SDSS J091651.31+403629.7,8.38,0.84
SDSS J092320.37+610704.4,8.22,0.74
SDSS J092648.84+102828.8,8.03,0.63
SDSS J093426.60+053753.7,8.49,0.93
SDSS J093535.10+260111.2,7.795,0.555
SDSS J093904.03+051114.8,7.68,0.44
SDSS J093942.96+044340.2,8.26,0.75
SDSS J094103.00+523257.4,7.995,0.615
SDSS J094552.10+403510.6,7.998,0.59
SDSS J100653.47+610028.6,8.13,0.7
SDSS J101356.32+272410.6,8.8,1.1
SDSS J101614.70+490930.3,8.23,0.76
SDSS J101650.40+080749.3,7.93,0.59
SDSS J101928.10+570804.2,7.77,0.53
SDSS J103225.77+204935.6,7.8,0.51
SDSS J103318.89+593810.8,8.38,0.86
SDSS J104036.43+515508.4,7.98,0.6
SDSS J104113.66+293903.0,7.91,0.59
SDSS J104155.89+303256.9,7.76,0.49
SDSS J104322.98+051235.8,7.76,0.48
SDSS J104838.47+624158.2,7.88,0.55
